id,item_id,code_id,tag_id,description,filepath,created,created_by
18,42,2,130,"In some minigames the player needs to order stuff.
For accusing another player the player needs to connect the dots.",,1713256123234,2
19,42,2,304,"Since there is no way to write down information, the player needs to remember everything the other players do or say. This is an important part of the game experience, since it might be difficult to remember or talk about everything that happend.",,1713256210031,2
20,42,2,138,Since the players do roleplaying and are hiding their real intentions social deduction can be used to find the truth.,adf072ed-eef6-49f0-a325-254cc15696f3.png,1713256313408,2
21,42,2,109,A player can plan each round how he want to win it. As an imposter a specific strategy might be to wait in one room for targets or focus on using wents to escape.,,1713256388971,2
22,157,2,178,"Even though the player builds the buildings, processing the resources is done automatically without the users input.
Additionally the game allows the player to define tradingroutes.",ffbb969c-9042-48d3-85ef-ca14375e647e.png,1713256478863,2
23,157,2,343,The game has money and resources that can be used to build or buy stuff.,ab35498c-587b-468a-afc9-89757b41f819.png,1713256542634,2
24,157,2,342,The game has ships and soldiers that need to be managed and directed.,95b96f01-a505-4823-84c5-c277eddd3bc3.png,1713256592135,2
25,157,2,131,Weather and quests are randomly appearing events. The world is also randomly generated.,58bdc962-b302-4777-8d15-2df6e5fdb48a.png,1713256652873,2
26,157,2,109,"The player might plan ahead when selecting an island, expanding or structuring his city.",,1713256742845,2
28,79,2,178,"Stones can be removed in a way, that connecting ones are disappearing automatically.",d6da7c5c-b283-4d04-933c-38a7eccf438a.png,1713256837615,2
29,79,2,343,In the beginning of the game the number of stones that the player has available is limited. Hindering the player to progress at some points.,292aee61-82ca-49a6-bbea-ced2e8a97500.png,1713256873861,2
30,79,2,124,The game has jumping platforms and doors that can close.,5fd5e956-a22e-4d5f-8c3e-fdb2d4365f26.png,1713256915052,2
31,79,2,109,Some riddles need you to plan ahead and think about how to solve them in regards to time and space.,d01ac268-97d4-47a6-a4cd-b765d43f8212.png,1713257041013,2
32,79,2,219,"In some cases the game indicates a solution which isnt one, or might suggest that a path is blocked, while in reality it is only a matter of perspective.",143b7004-c85e-4238-a6d2-6c528fc84e05.png,1713257107362,2
33,131,2,124,The player can electrocute enemies in water or set them on fire.,23754f69-e26f-4a81-95d1-736ea6cc3cd0.png,1713257661790,2
34,74,2,124,Some weapons shoot bullets that rikoschett,,1713257800082,2
35,119,2,304,"After testing and seeing which parts of the bridge need to be adjusted, the red indicators are not continuously shown. This requires the player to remember which parts need to be replaced.",,1713257940856,2
36,85,2,220,unreliable narrator,,1713258043037,2
37,1,2,140,players can add tags to video clips so that they can find them again in future searches and so that they are grouped,38e33386-2706-4708-9a66-7b0008155757.png,1713332237909,1
38,1,2,120,players can add video clips to a session that stores a limited number of video clips,,1713332296548,1
39,42,2,192,This is a text chat,ec41fa30-8040-4a96-82e8-3f3d01bfce72.png,1713332421874,2
40,1,2,143,"players can search for video clips with a text search bar

- results are returned based in the spoken words in the video clip that match
- only a limited number of search results can be inspected",05e1f6ba-e1b3-43c5-a92e-a0a796734a8b.png,1713332455804,1
41,42,2,355,Everyone tries to find the imposter unless you are the imposter.,493904f7-b87a-4a26-b45c-30c6b6e83413.png,1713332740130,2
42,42,2,207,is has it,10e6a9a0-c819-4f1b-9c30-f18fdd490794.png,1713332772643,2
43,48,2,120,record,a25678de-7ca4-46b8-a977-4b3c2c17daab.png,1713334215533,2
44,48,2,112,highlight,1e42efb7-cb0c-49dd-9c60-39b1c0b73ef8.png,1713334336245,2
45,57,2,318,ingame pathtrail,f7a7ba1f-a41b-4a13-8b96-3cb37b3b7767.png,1713338535728,2
46,57,2,316,arrow indicator,8c5a700e-c4d0-4830-a4d9-48ed9ac99bf1.png,1713338585350,2
47,57,2,101,its even called this in the game,17c74b69-8f84-4290-b024-ed48e7d584c6.png,1713338722265,2
48,57,2,183,"copy left symbol
paste right symbol",2b8f0a6c-2afe-46a6-a467-093711b26930.png,1713338817167,2
49,57,2,180,chooseable colors and patterns,26197f21-102d-4beb-a540-0a6d923dc1a7.png,1713338898643,2
50,57,2,334,"The game has unexplored space that can be revealed and is only shown when in proximity.
The game also has fog of war once, but even after you explored the space you only know what is there but not how it currently looks like.",07d96f21-3358-49f9-a7fd-d284ba92d09d.png,1713339468433,2
51,57,2,112,preview for monitoring,4afe6965-1889-4e6c-b3b9-51b391a32e5b.png,1713339553236,2
52,57,2,358,career log,037266d8-c052-4d5d-a7a4-e7140707d60f.png,1713339614231,2
53,57,2,140,the player can set markers with custom text,1e43dfe5-2221-430d-b7aa-ec720ee798e8.png,1713339711657,2
54,57,2,167,flying queue,045ae6d4-90e1-4ad6-89d2-9ee0c0d81fb7.png,1713339797676,2
55,57,2,309,this also is valid for space ships or processed items,50296ab0-2b0e-4329-81df-b1a1082992d1.png,1713339959637,2
56,57,2,319,custom marker,486e44ba-b7aa-4606-a54b-deb1c27b46f2.png,1713340007982,2
57,57,2,314,minimap,45481dbf-7340-4111-a141-79ccbcca5644.png,1713340041099,2
58,57,2,343,"the game has items that can be produced, sold and traded",a46b25b1-f56a-4603-8b8b-cd6e9d0fa9b6.png,1713340168126,2
59,57,2,342,assign worker to groups and workspaces,08a8f6fa-4b65-4dfa-b73f-2c09f1835348.png,1713340306509,2
60,57,2,115,"for space stations, asteroid fields etc",34e257cf-9fc7-4feb-b283-c107548a0df9.png,1713340368505,2
61,57,2,324,image showing unexplored space and fog of war. enemy space ships can randomly fly in already explored areas making scouting a valid option.,bf0bf633-3968-44cf-9509-115103b297a0.png,1713340445271,2
62,57,2,312,for example from station to station,90def21a-0714-45b2-be8c-4f8e50110a30.png,1713340723656,2
63,157,2,314,minimap,384c58d0-4d0b-4cfa-a347-012be12f3194.png,1713341151792,2
64,157,2,208,npc talk with audio to the player,bd74a2b4-96f6-485a-a26c-5055421584a2.png,1713341322666,2
65,157,2,334,the game has hidden parts that need to be explored. after that the player can even see changes at that location including ships and settlements.,8e95ceac-4e73-41c1-be38-b8f8adfbce41.png,1713341441941,2
66,157,2,167,ship routes,4c2b651c-57c2-4623-a431-884e25551d80.png,1713342025102,2
67,157,2,315,might only exist for routes and in the sorresponding menu,59933f03-5628-4abe-9f15-ff36f226010b.png,1713342272467,2
68,157,2,350,ship vs ship and armys,5bd32eec-2631-4f11-9686-78a05ca5ab39.png,1713342385301,2
69,157,2,117,the player can place an indictor where a boat should go,47573eea-f4c0-4856-9f5e-97ee92446cab.png,1713342499280,2
70,157,2,175,warenketten,ab9dba27-1590-4e4d-8901-683b627531d0.png,1713342716262,2
71,79,2,311,quicktravel via map,0bd16b2c-1665-4067-96c9-1d8a1c1b84cb.png,1713343469646,2
72,79,2,113,There are multiple different stone types that come with specific rules.,80e0d137-fd04-480a-94d2-deac88345fa1.png,1713343610431,2
73,79,2,289,learned rules need to be apply to solve riddles,11e37c2e-33b8-49a4-bf6b-ac2d92eb18f1.png,1713343635269,2
74,79,2,359,The game has multiple riddles depending on thinking about its solution.,011d92c0-4ca1-4b91-ae54-841daaf430e5.png,1713343790946,2
75,79,2,354,time dependent riddle,b2ae77cb-7099-4847-8615-0dd676470c96.png,1713343919157,2
76,79,2,115,Each riddle has a predefined symbol to be easyly recognized.,0ba68326-d15f-4d59-839f-9a2cd46a5fac.png,1713344027196,2
77,79,2,137,there are multiple eastereggs to find in the game giving background info to the game dev process,0154b866-2d6b-4fee-b7a8-e0ba095a4c0e.png,1713344255317,2
78,135,2,211,the different moves are explained,53e086e9-e16b-4ed1-bcc1-c105addc7438.png,1713344493994,2
79,135,2,124,the player can fall down,c5786e36-3d2b-4c53-a9e9-22d0e0e4ec3e.png,1713345129765,2
80,135,2,209,npcs talk to the playercharacter while the player is watching,e23f0807-462d-42b4-9d55-08d218501786.png,1713345565560,2
81,135,2,321,image,a1601471-fdb1-490a-91f5-29aeb4168df4.png,1713345627827,2
82,135,2,314,combined with compass,f4d51521-e020-426d-90f4-326619b5af8e.png,1713345738503,2
83,135,2,317,combined with minimap,e9ddf015-3d6a-47fb-b1a7-af10e075f139.png,1713345751738,2
84,135,2,115,in minimap and big map,83829f29-e5b7-4367-8804-680e05b96cd6.png,1713345772415,2
85,135,2,350,sword fight based game,a3b5c100-9d25-453d-bb48-31cf80d39b59.png,1713346096941,2
86,135,2,337,the game has multiple miniquests,cb1e548b-7d2b-4e89-b3e0-afd651d2bdb6.png,1713346356479,2
87,135,2,334,main map with symbols,1f183961-1cdd-4ea0-89e7-5cf0d8b3ec14.png,1713346499139,2
88,135,2,178,the game automatically climbs objects if possible on keypress,4be058de-570e-4962-9cd0-0c79cc4c12ea.png,1713346728817,2
89,135,2,329,the player must direction the player character correctly for the automatic climbing to work,e883cb09-43db-4522-b646-28b156471b9e.png,1713346767602,2
90,135,2,109,The player can himself plan how to get to his target and fulfill his contract,,1713346868188,2
91,135,2,343,Some objects are limited in number in this case wurfmesser,790849fe-5fe2-49de-ba64-f97469c8a554.png,1713347015328,2
92,164,2,211,game is basic tutorial,3ed9e3a8-a3d7-40ab-be54-14e3f326dda2.png,1713348990350,2
93,164,2,289,The game has rules to apply,6ac32465-5a5c-474a-87af-5d56e67ccbc8.png,1713349032822,2
94,164,2,359,logic challenges,99a8043f-fe4b-4405-8822-639502d86c09.png,1713349064604,2
95,164,2,320,kinda sticky camera,1548baf0-9baa-4d37-bd02-4bbbd932f44e.png,1713349109917,2
96,164,2,113,multiple level introduce and check new rules,2fdedd47-4569-48f9-b153-f2196f9c8d65.png,1713349274520,2
97,164,2,344,items must be ordered to win,416bf923-002f-4be0-981d-8f6d4a9a5cc2.png,1713349385064,2
98,164,2,130,items must be ordered to win,afc272a7-da2c-4638-ab0e-8766751f58d8.png,1713349408319,2
99,64,2,211,The game has tutorials,2d46e0a0-b905-421f-b800-3fe278783c12.png,1713349603121,2
100,64,2,129,It is possible to pause the construction of a building before it started. Even though the foundation of the building costs resources the first state does not and pausing it prevents the citizens from delivering resources to the land.,6bd4227d-6791-4007-a19c-e02e92247734.png,1713349991292,2
101,64,2,314,The game has a minimap also displaying the camera position.,f2d676fb-de84-452f-b94f-ee2573ba0a6d.png,1713350041040,2
102,64,2,343,The game has resources that need to be managed.,cac042fd-dbdf-4a13-8f90-76ea3da3f00b.png,1713350086225,2
103,64,2,342,The player can manage his citizens assigning them a specific profession.,91314c84-71bf-4107-bdf9-b005cf288868.png,1713350147866,2
104,64,2,112,highlight buildings and citizens,e922fb51-5dc2-43cd-89cc-1aab620367c9.png,1713350269613,2
105,64,2,354,The game has seasons,335f3661-15d1-41c7-9098-91376a5372ca.png,1713350332296,2
106,64,2,318,The game can show where a worker comes from.,2c4ae529-3b65-4267-ad39-eab7b51143ab.png,1713350580478,2
107,64,2,169,Even though the player can assign workers a job he can not freely choose its priority.,bc8ce4dc-7dec-401c-a42d-8abd2d6354f5.png,1713350711205,2
108,64,2,178,game automatically produces resources,53c6dc97-59fa-4223-b0e7-ddad3a8be510.png,1713350966087,2
109,64,2,167,"The player can not see an action list, but the game keeps track of tasks that should be performed.",8f0a93d5-5ab7-4399-9651-679acef86d46.png,1713351111593,2
110,64,2,131,Disasters and rain are random components as well as traders and homeless people.,7b4a874e-cb42-4520-ad9c-9441209565fe.png,1713351295936,2
111,108,2,350,weapons,ba51c687-fe8c-4b05-a644-7dc520715aea.png,1713351390403,2
112,108,2,208,narrator talks to player,b0464c86-b387-434f-bccc-57c043cce5d6.png,1713351469767,2
113,108,2,220,spoiler,8584b4ca-22cf-4fed-8a3d-ecdff422505b.png,1713351494123,2
114,108,2,343,buy stuff for cristals,e830acc4-2af8-4a23-8ef3-f8e6f05932a2.png,1713351708063,2
115,108,2,344,select which perks you want to have,0a5c66d4-4e16-48c1-a650-595abe504849.png,1713351763707,2
116,108,2,292,upgrade upto 5 times,40028c24-b430-4fde-af43-390ba0cbd122.png,1713351912703,2
117,132,2,333,detective work,97d8589f-ef85-4a64-97b0-b347ba2fcf06.png,1713352532077,2
118,132,2,112,in the detective mode stuff can be highlighted,36544ea8-43be-413f-9e73-60981b32f7d4.png,1713352779132,2
119,132,2,109,plan in which order to focus on which enemy,830dcd9f-a761-424b-a025-72fd80147adc.png,1713353022494,2
120,132,2,350,beat enemies,7416fbfc-9b04-4e30-8c3c-40663ff42b8b.png,1713353079345,2
121,132,2,321,third person,2e96243b-81eb-4078-bf48-769fa5a3a709.png,1713353226191,2
122,132,2,292,upgrades,fd5117d1-816d-467e-bfa2-0249b5bef11d.png,1713353529783,2
123,132,2,208,batman talks to himself all the time,,1713353710994,2
124,132,2,331,combocounter increasing after each hit without getting hit,95766344-f9a5-42d4-9352-2565f5374fbe.png,1713353833016,2
125,132,2,347,press button in quick succession,6253c283-0735-4091-92fd-e0362ccb67b6.png,1713354021544,2
126,132,2,358,targets and notes are saved automatically,3f07fd2f-0797-4c58-af6e-db600aa63961.png,1713354135520,2
127,67,2,333,detective mode,0a8b0fa7-82d1-46fc-8db8-6d34b4508751.png,1713413777697,2
128,67,2,112,highlight,cc30f149-a6b2-451d-84a7-6e31b8a516f3.png,1713413826899,2
129,67,2,317,compass bar,1ef2d0f7-6283-4a4e-af6c-eac6270c3c9f.png,1713413917657,2
130,67,2,350,boxing,3ad7e071-07e3-411c-966e-ab91c2a481f6.png,1713414044023,2
131,67,2,331,combo counter,78678c96-b19e-41a7-889d-d2aec4dbd56e.png,1713414083097,2
132,67,2,209,npcs talk to playercharacter in and outside of cutscenes,16afb9fc-6c69-46a4-8fe2-9f29d8d1a11c.png,1713414145608,2
133,67,2,208,batman regularly talk to himself,,1713414191110,2
134,67,2,358,objectives,d076bd12-1924-4620-b7fb-a3f4b95886ea.png,1713414307603,2
135,67,2,343,explosives and experience points,ccc05c29-7d32-46c3-a612-884384366da0.png,1713414659900,2
136,67,2,344,items,7ec46517-5d63-49c5-8ef8-6d8b316b3524.png,1713414695320,2
137,67,2,109,plan to use the right skill/gadget at the right time,042e9cf0-4162-4706-af81-4e8262380c76.png,1713414725798,2
138,67,2,338,good fighting increases damage and combocounter,f7033409-f082-45c9-8ed3-376dc028a267.png,1713414793786,2
139,67,2,337,minigames for hacking,febf5e2f-7960-4a9e-90eb-e629bf932302.png,1713415054403,2
140,67,2,292,improvements,c738267d-23d9-4e50-af51-34191fe55989.png,1713415116264,2
141,67,2,347,rapidly press a button,8c5d9f70-4142-4c00-a921-6474fbc09fab.png,1713415457860,2
142,67,2,335,riddlers riddles,6e3ab793-a19f-41ef-b7b9-e3eaa2300a38.png,1713415523717,2
143,67,2,334,open world with optional content,3a0b655a-b136-4cc4-ba15-dfdf0abc143a.png,1713415631747,2
144,67,2,124,you can fly,f91b9565-7916-4973-b2ee-0b35d284709f.png,1713415669083,2
145,67,2,321,over shoulder view,1170cc77-d587-4e8c-b5a9-8e04e2e0d9a2.png,1713415688856,2
146,67,2,316,Showing direction of next target,3c282ecd-5644-494c-a717-cbab3b663086.png,1713415724132,2
147,67,2,290,different skins can be choosen,22f282a9-0749-4054-a07f-445e37e9892b.png,1713415881141,2
148,131,2,130,order parts ,1b6c2332-b8c8-4932-b942-d3185a79f271.png,1713418161402,2
149,131,2,335,hacking,c7b56c64-5498-4454-8802-9eaca603902a.png,1713418192044,2
150,131,2,316,3d arrow,fe01a6af-44ce-4a91-8e7a-f7de273623fa.png,1713418407196,2
151,131,2,322,first person,19e9c1c9-3ff7-4c98-8281-1213ea667d1c.png,1713418444038,2
152,131,2,343,"money, adam, plasmids, eve, tonikum, ammonition",c4c4e20e-130f-4013-b844-8b995f1ffb1b.png,1713418519918,2
153,131,2,358,questlog,ef2c586a-4092-40e6-a8f0-1a881a9c8780.png,1713419501542,2
154,131,2,115,e.g. vending machine,766927c3-6767-4398-afce-83bbd70b2174.png,1713419541227,2
155,131,2,292,buyable skills,4fab8b8b-1fcc-4d2f-aa7e-f1ad85f2e516.png,1713419744314,2
156,131,2,344,select which skills to use,ce963fea-be2a-46f6-bf2e-bf296d7aba43.png,1713419848722,2
157,131,2,350,"weapons, also observe the health bar above the enemy half circle in red or yellow",49cf64b4-f3f3-4621-bf9c-e29344f0c7d8.png,1713420015728,2
158,131,2,325,little sisters,80a1613b-4c1b-4f01-bfae-1a36e6188fc3.png,1713420177974,2
159,131,2,220,plottwist at the end,,1713420268843,2
160,131,2,182,crafting,4c7d4792-57c1-4efc-92ba-48d1b1ad9d89.png,1713420349211,2
161,131,2,322,in big daddy armor,16ef7282-8434-4c8d-baf1-a6aebf3f9e69.png,1713420424330,2
162,52,2,314,map with symbols,0a59126b-7db3-42db-afad-b08a4d6f05af.png,1713420795638,2
163,52,2,115,"symbols for heroes e.g. arrows or hero icons, runes, buildings, neutral camps, ...",44f904bc-b0ca-4893-9c99-4a1290c41376.png,1713420837154,2
164,52,2,294,colorblind mode on the right,0c1487c0-6f49-40f7-a168-48601bc819bd.png,1713420885770,2
165,52,2,292,skills and talents can be leveled up,153d4921-9c0d-4200-836f-de40af95f824.png,1713420978637,2
166,52,2,343,"gold, mangos, tangos, bottle charges, runes",c3f6aa1b-dff6-4bb2-887f-c1f3044dd62e.png,1713421076977,2
167,52,2,344,limited item slots for a lot of items that can be bought,0374a099-c89d-40be-9ab8-9b253527bfc4.png,1713421191696,2
168,52,2,324,hidden area behind the tree,d3eda2ea-5ef8-4494-8f54-da5a15895627.png,1713421275861,2
169,52,2,320,free moveable camera,900a0198-cdb8-480b-acb2-c88b29102758.png,1713421303910,2
170,52,2,355,Team a against team b,1bb5e5ad-196c-40b9-bef9-ffad6bdf2f38.png,1713421374020,2
171,52,2,207,played online,ff8db61b-6811-4e16-9730-34fdce04fe72.png,1713421396923,2
172,52,2,356,"every game is different, a lot of heroes to choose from, try different hero item combinations, play with friends, etc",,1713421448853,2
173,52,2,330,target enemy,8edb02e3-7ace-4cb9-9dc2-74da1d3ec0df.png,1713421534696,2
174,52,2,318,green path,1fe07c1e-8e5d-4e45-8c66-1ccadfe756ea.png,1713421568641,2
175,52,2,338,"target enemy in limited time, estimate distances, react fast, ...",e3a889fa-fa2c-4793-8022-f55b54dca374.png,1713421611842,2
176,52,2,354,cooldowns,18255a03-2737-430f-bb8b-8e16dc4b58bb.png,1713421694927,2
177,52,2,342,multi unit heroes,67a9ecf0-784d-4742-8a25-753f1cfd99a4.png,1713421765485,2
178,52,2,112,highlight selected unit,736de9b5-0a56-4c7f-92e6-e13557d7cc64.png,1713421834827,2
179,52,2,345,choose your heroes,defb2ce8-7fc3-4e9a-8aae-b1a9364b2c0a.png,1713421931585,2
180,52,2,312,portals and teleport,b1c64479-4254-4f18-b6fc-63f6abafc49a.png,1713422008970,2
181,52,2,117,"see the flag, or look at the markerping evidence",884e0cd1-45c4-44ad-b732-80f1bbf28677.png,1713425554245,2
182,52,2,161,"queue, also see quickbuy queue",09f8e43b-24bd-458f-a250-9e40ef8aa082.png,1713425596396,2
183,52,2,168,queue is directly executed,278c63cd-d09f-4296-8129-546e84754a73.png,1713425618422,2
184,52,2,103,"setting up, also see markers and pings evidence for additional image",fd0815a4-71c2-410d-81e3-153a428cdd44.png,1713426108985,2
185,52,2,194,notice mini sound icon on the top ones,b24b308f-a62b-4e22-8dc0-fa3bc85b6360.png,1713426154850,2
186,52,2,192,3 lines,6c70e04a-9806-4660-a3b0-4bc509d0237c.png,1713426197148,2
187,52,2,193,you can draw everything you want,18bc72dc-30b6-4959-b850-12bc4d27ca99.png,1713426438370,2
188,52,2,118,you can draw everything you want,b285fd3f-4d9a-4150-b9aa-d9e19347b558.png,1713426457129,2
189,52,2,112,last hit indicator,dc50e329-af33-4a1b-a5a5-388553de19af.png,1713426534862,2
190,52,2,196,"markers for attack, place ward, enemy ward, group,  beware, ...",d8477fd0-491c-4975-978d-8d9de8c6b518.png,1713426645853,2
191,52,2,319,command to attack or similar,712fb6b9-f393-4f39-90e0-8ee99fa1bd84.png,1713426746947,2
192,52,2,210,sometimes the heroes talk to each other,,1713426877969,2
193,52,2,197,when close to each other heroes can talk to each other (com: npc to npc),,1713426918904,2
194,52,2,290,select cosmetics for heroes,f7a7753a-579b-459e-b1af-a60de5594f98.png,1713427201468,2
195,52,2,182,item recipes,5c5fbf65-fd1d-4a17-bfa9-31025dde04f5.png,1713427377632,2
196,52,2,166,quickbuy-queue,6016bc33-0b02-4a76-a2cc-7d4a1870477e.png,1713427514099,2
197,52,2,134,item or skillbuild guides,c366ea7c-cd74-4a37-84fc-77a140314661.png,1713427611616,2
198,52,2,191,speach bubble,0de3b7e5-ad27-49a3-88ba-8afdd04d56d0.png,1713428357465,2
199,74,2,343,"money, grenades, ammunition",1d22984d-229a-4669-acc8-6178e977ad6b.png,1713436314575,2
200,74,2,314,minimap,2654ef91-30c0-4863-ae36-bcb43444ed89.png,1713436387464,2
201,74,2,115,shop symbols,72c24811-3b84-4624-a886-7c70b73f9750.png,1713436412176,2
202,74,2,317,"compass at the bottom of the screen, minimap also shows north",239cad3f-27a7-42ee-a7d5-b78d728177c2.png,1713436433314,2
203,74,2,358,questlog,df3c62b4-1842-45cf-b6c0-5e4de7c65a94.png,1713436481913,2
204,74,2,344,choose which items to equip,78876822-d36e-4e5f-b4b6-d6905e4bd9aa.png,1713436557730,2
205,74,2,292,select skills,930326e4-aa6f-4377-9405-892c8a15fdda.png,1713436675005,2
206,74,2,334,a map to explore,348148ce-a046-4974-8a6d-b4ca48273d67.png,1713436795410,2
207,74,2,316,shows direction to walk in,4ae47dd3-7976-4a9b-aaf4-b5c44a99708c.png,1713436836987,2
208,74,2,350,damage numbers shown,60c5da08-bc6c-4634-9695-4fa8e7f4ade8.png,1713437079961,2
209,74,2,322,first person,447f6bf4-3dab-493d-8347-9a8d331a8c91.png,1713437091894,2
210,100,2,343,ammunition,46ec25a8-6f23-4d02-be46-50a45a884c45.png,1713437532650,2
211,100,2,350,guns,8f52b19b-f3a0-4d99-9e87-8e9ead27dfa8.png,1713437711760,2
212,100,2,322,first person,6e8aba30-d273-40ec-862f-13f8f8672778.png,1713437746766,2
213,100,2,319,indicator of allies,0d7819c9-3797-41a1-86dc-8e4d4082b3af.png,1713438009255,2
214,100,2,208,npcs talking to player (no 4th wall break),3a15a7db-9c32-46b6-8061-3c2e1869f1df.png,1713438089510,2
215,100,2,330,bow and arrow,467c1995-ba33-4eca-b54b-fd8b4ad3156c.png,1713438249852,2
216,100,2,344,guns can break but can be replaced,5d4fbf3b-61ed-43a9-a818-f893ff18f86c.png,1713438488046,2
217,1,2,145,"The player must try different keywords to search for new videos, this might lead to dead ends when the keyword is not used in any video or when the player only finds already explored videos.",5ef61a8b-8857-4f3c-85d7-49604e6d085d.png,1713440140197,2
218,1,2,319,videos that were not yet seen by the player are marked with a yellow eye icon,0ee788f6-36f9-47d5-858c-0471f9f5702d.png,1713440352783,2
219,1,2,294,anti-glare filter to remove the pc monitor look,e6950088-55a4-463e-8d31-e07a70f66577.png,1713440541645,2
220,1,2,335,The game contains a minigame (in the trash bin).,c164ef6b-356d-4ffe-938e-cd436e3139ab.png,1713440775023,2
221,1,2,314,a map of all database entries discovered,d15fb3ac-c0e5-426d-aa7c-7d22bb73b807.png,1713440871814,2
222,1,2,304,Even though the game provides a query history it does not provide a tool to mark query that the player wants to perform in the future. possible new query words must either be saved as a tag or on a sheet on real world paper.,69c81138-6c98-463f-8b65-3921cd75f2a9.png,1713441049254,2
223,1,2,112,The player can select video clips and add them to a session.,664be1cb-2165-411f-a918-f1476b4ce230.png,1713441215577,2
224,1,2,293,Even though the amount of widgets is limited the player can move these around a place them like on a usual operating system.,d091122c-5e8a-4eb9-b035-4ad1b47bba65.png,1713441272596,2
225,1,2,322,"the game is not completely up to the definition of first person, since it is like the player is the computer screen, but it is similar. Also the face of the investigator (the player) is sometimes reflected in the pc screen.",,1713441369115,2
226,1,2,144,"Investigating and understanding the timeline is an elemental component to the game, since the videos are ordered by time while you can only see the first 5 clips.",cded4dcb-43d9-4128-a2b1-eb6f16a84fdd.png,1713441706679,2
227,1,2,333,the player must listen but also observe closely to get clues for new query words - e.g. water and coffee,07446b86-1332-4551-bbb3-14dfd5e1510f.png,1713442042943,2
228,1,2,307,"The player must understand what the suspect is saying, this including contextual information and interpretation.",,1713442259811,2
229,8,2,211,The game explains its features via an ingame text and video tutorial.,0d5580e2-6f60-4523-9e4a-6bd79a3490cf.png,1713443260283,2
230,8,2,133,Board where information can be connected via red strings.,e9b0952e-de34-498d-9b5c-b4a65f52afd8.png,1713443439381,2
231,8,2,344,The player has limited inventory space.,ca4148ef-0770-4454-9a3c-e6c12994766c.png,1713443508913,2
232,8,2,343,The game has money for example as a reward for solving cases.,fe3dac8a-3e9f-4858-8ea1-f052b254f9a5.png,1713443613162,2
233,8,2,316,The game can plot a route indicating the direction via an arrow.,72a7be34-1d7b-473f-83cc-ad90f1350697.png,1713443673936,2
234,8,2,333,investigating crime scenes and similar,e852f7e2-aecf-4364-bd07-e20da01b7938.png,1713444371068,2
235,8,2,109,"The game gives you various options how to proceed in your investigation. For example when opening doors, you can try to find a key, break in or use brute force.",f2b3fff9-1f4b-404d-9c7b-64e3db34f3e0.png,1713445089710,2
236,8,2,350,punches,dec6d7a8-a9bc-4cbd-bc84-2da9375237a4.png,1713445536957,2
237,8,2,112,enemies and security personal can be highlighted,fa4aeadd-e906-4a29-a002-bae35e434601.png,1713445626616,2
238,8,2,104,You can get information by talking to npcs.,ae0e0553-c6a4-4839-bc7c-8aee32c730d0.png,1713445818607,2
239,8,2,212,"The player must answer questions regarding the murder case, which is difficult due to the space of possible suspects.",1bf48715-036b-47a1-9f2e-2a3cbb41ac3d.png,1713445969172,2
240,8,2,299,There are multiple was to solve a case and also multiple ways to investigate it.,f812fe62-b1de-471a-a92f-490e0f0dd8da.png,1713446068475,2
241,8,2,132,The game might present you with options that lead to nothing like dead ends.,87d1a3db-90ee-4cf9-9562-0d00233f1ce2.png,1713446142385,2
